"Item type","Authors","Title","Journal","Full journal","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Publisher","Date published","Date accessed","ISSN","ISSN (alt.)","URLs","DOI","PMID","PMC ID","Abstract","Keywords","Copyright","Affiliation","Language","Sub-type"
"Journal Article","Tanaka H,Matsumoto M","Thermodynamic stability of clathrate hydrates","Rev. High Press. Sci. Technol.","The Review of High Pressure Science and Technology","2013","23","2","94-102","","田中さん業績集;Matsumoto","The Japan Society of High Pressure Science and Technology","2013","","0917-639X","1348-1940","http://jlc.jst.go.jp/DN/JST.JSTAGE/jshpreview/23.94?lang=en&from=CrossRef&type=abstract;http://dx.doi.org/10.4131/jshpreview.23.94;https://okayama.pure.elsevier.com/en/publications/thermodynamic-stability-of-clathrate-hydrates;https://www.jstage.jst.go.jp/article/jshpreview/23/2/23_94/_pdf","10.4131/jshpreview.23.94","","","We review recent advances in prediction of phase behaviors of various clathrate hydrates with firm statistical mechanical ground, in which the classical theory is extended to multiple occupation of cages and substitution of a fully occupied state for an empty hydrate structure. It is demonstrated that they indeed work effectively in predicting the dissociation pressures of clathrate hydrates containing hydrogen and some hydrocarbon molecules.","","","","en",""
"Journal Article","Nagashima U,Shinohara H,Nishi N,Tanaka H","Enhanced stability of ion–clathrate structures for magic number water clusters","J. Chem. Phys.","The Journal of chemical physics","1986","84","1","209-214","","田中さん業績集","American Institute of Physics","1986-01-01","","0021-9606","","https://doi.org/10.1063/1.450172;http://dx.doi.org/10.1063/1.450172;https://aip.scitation.org/doi/abs/10.1063/1.450172;https://scholar.google.ca/scholar?cluster=8699112979427602612&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.450172","","","The near threshold vacuum?UV photoionization of water clusters has been performed by using a resonance line emission of argon at 11.83 eV. The well?known intensity anomaly at the cluster ion (H2O)21H+ is observed even in this threshold photoionization, for the first time, with very small excess energy. Structures for the water cluster ions (H2O)21H+ and (H2O)28H+ which exhibit enhanced structural stability (magic number), are presented based on Monte Carlo simulations as well as on the analogy of our previous study on the stability of the (H2O)20NH+4 ion. The Monte Carlo calculations are carried out at the temperatures of 200, 150, 100, and 50 K for the ionized water clusters (H2O)nH+ around n=21 and also around n=28, which includes the ionic hydrogen?bond interactions between an H3O+ ion and neutral H2O molecules. The clusters (H2O)21H+ and (H2O)28H+ have greater binding energies per molecule than their neighbors although the enhancement of the latter is somewhat temperature dependent. The calculations suggest that the stable structures for (H2O)21H+ and (H2O)28H+ are represented by the ion?clathrate (ion?centered cage) configurations with either an H2O+ or (H2O???H3O)+ ion trapped inside the cage, respectively. The simulations for (H2O)20???H3O+ also suggest that the cluster is especially stable due to the strong Coulombic interaction between the encaged H3O+ ion and the surrounding 20 water molecules which form a deformed pentagonal dodecahedral cage. The stability of the (H2O)26(H2O???H3O)+ ion can also be explained consistently within the framework of the present ion?clathrate model.","","","","",""
"Journal Article","Hakim L,Koga K,Tanaka H","Thermodynamic stability of hydrogen hydrates of iceIc and II structures","Phys. Rev. B Condens. Matter Mater. Phys.","Physical review. B, Condensed matter and materials physics","2010","82","14","","","田中さん業績集","American Physical Society (APS)","2010-10-13","","1098-0121","1550-235X","https://link.aps.org/doi/10.1103/PhysRevB.82.144105;http://dx.doi.org/10.1103/physrevb.82.144105;https://journals.aps.org/prb/pdf/10.1103/PhysRevB.82.144105","10.1103/physrevb.82.144105","","","The occupancy of hydrogen inside the voids of ice Ic and ice II, which gives two stable hydrogen hydrate compounds at high pressure and temperature, has been examined using a hybrid grand-canonical Monte Carlo simulation in wide ranges of pressure and temperature. The simulation reproduces the maximum hydrogen-to-water molar ratio and gives a detailed description on the hydrogen influence toward the stability of ice structures. A simple theoretical model, which reproduces the simulation results, provides a global phase diagram of two-component system in which the phase transitions between various phases can be predicted as a function of pressure, temperature, and chemical composition. A relevant thermodynamic potential and statistical-mechanical ensemble to describe the filled-ice compounds are discussed, from which one can derive two important properties of hydrogen hydrate compounds: the isothermal compressibility and the quantification of thermodynamic stability in term of the chemical potential.","","http://link.aps.org/licenses/aps-default-license","","",""
"Journal Article","Tanaka H,Koga K","Theoretical Studies on the Structure and Dynamics of Water, Ice, and Clathrate Hydrate","BCSJ","Bulletin of the Chemical Society of Japan","2006","79","11","1621-1644","","田中さん業績集","The Chemical Society of Japan","2006-11-01","","0009-2673","","https://doi.org/10.1246/bcsj.79.1621;http://dx.doi.org/10.1246/bcsj.79.1621;http://www.journal.csj.jp/doi/pdf/10.1246/bcsj.79.1621","10.1246/bcsj.79.1621","","","We have investigated various anomalous properties of water such as the divergent character of the thermodynamic functions and liquid?liquid transition in supercooled water, the phase behaviors of water and new ices in nanoscale confinement, the thermodynamic stability of clathrate hydrates over a wide range of pressure, and anomalous thermodynamic and structural properties of ices. These are studied by some theoretical calculations and Monte Carlo/molecular dynamics computer simulations. It is demonstrated that the potential energy surface and the connectivity of supercooled water are keys to understand why liquid?liquid transition can take place in deeply supercooled water. A tetrahedral coordination of water is preserved even in extreme confinements, forming tubule ice and bilayer crystalline (or amorphous) ice, although the heavy stress makes the bond angles and lengths different from the ideal values. Thermodynamic stability of clathrate hydrates, including double occupancy, is more accurately predicted by considering the host?guest coupling and other factors. The negative thermal expansivity and the change in slope of the Debye?Waller factor of ice are explained with a simple model of water.","","","","",""
"Journal Article","Tanaka H","Phase Diagram for Supercooled Water","THE REVIEW OF HIGH PRESSURE SCIENCE AND TECHNOLOGY","The Review of High Pressure Science and Technology","1998","7","","1100-1102","","田中さん業績集","The Japan Society of High Pressure Science and Technology","1998","","0917-639X","1348-1940","http://dx.doi.org/10.4131/jshpreview.7.1100;http://joi.jlc.jst.go.jp/JST.Journalarchive/jshpreview1992/7.1100?from=CrossRef;https://www.jstage.jst.go.jp/article/jshpreview1992/7/0/7_0_1100/_pdf","10.4131/jshpreview.7.1100","","","Molecular dynamics simulations have been carried out at constant pressure and temperature to examine phase behaviors of supercooled water. The anomalies of supercooled water in thermodynamic response functions at atmospheric pressure, the phase transition between low and high density liquids and a fragile-strong transition are accounted for by reconciling an idea introducing a second critical point separating two liquid states with a conjecture that low temperature state is a different phase from normal water.","","","","",""
"Journal Article","Koga K,Tanaka H","Rearrangement dynamics of the hydrogen‐bonded network of clathrate hydrates encaging polar guest","J. Chem. Phys.","The Journal of chemical physics","1996","104","1","263-272","","田中さん業績集","American Institute of Physics","1996-01-01","","0021-9606","1089-7690","https://doi.org/10.1063/1.470897;http://dx.doi.org/10.1063/1.470897;http://aip.scitation.org/doi/10.1063/1.470897;https://scholar.google.ca/scholar?cluster=10554633837127821456&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.470897","","","Mechanisms of rearrangement process in a defect?bearing solid hydrogen?bonded network system ?a clathrate hydrate encaging polar guest?are examined in terms of the waiting time distribution functions for connectivity changes of water molecules. As previously found for the lifetime distributions of hydrogen bonds in supercooled water by Sciortino et al., a power?law?like behavior is observed for the waiting time distribution in short?time region in the clathrate hydrates; in long time region the distribution is close to an exponential form. It is revealed that the behavior is accounted for by assuming two kinds of processes of the connectivity changes: one is caused by thermal excitation in a perfect network region, which can be regarded as a Poisson process and another is induced by defects in the environmental network, which is responsible for the power?law?like behavior. Also the waiting time for the defect?induced connectivity changes of a molecule is related to how many other molecules are involved in local network rearrangement processes. By a simple model of single?axis rotator for reorientational jumps of a water molecule, we show that a power?law?like behavior appears in the dipole autocorrelation function when the waiting time for jump events is a strong power?law type distribution as observed in the defect?induced connectivity changes.","","","","",""
"Journal Article","Tanaka H","The thermodynamic stability of clathrate hydrate. III. Accommodation of nonspherical propane and ethane molecules","J. Chem. Phys.","The Journal of chemical physics","1994","101","12","10833-10842","","田中さん業績集","American Institute of Physics","1994-12-15","","0021-9606","1089-7690","https://doi.org/10.1063/1.467832;http://dx.doi.org/10.1063/1.467832;http://aip.scitation.org/doi/10.1063/1.467832;https://scholar.google.ca/scholar?cluster=15285655004765288000&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.467832","","","The thermodynamic stability of clathrate hydrates encaging nonspherical molecules has been investigated by examining the various components of the free energy of cage occupancy. In the present study, we develop a method to treat clathrate hydrates of nonspherical guest molecules by extending a generalized van der Waals and Platteeuw theory [Tanaka and Kiyohara, J. Chem. Phys. 98, 4086 and 8110 (1993)]. The potential energy surfaces for the rotational motions of nonspherical propane and ethane molecules are examined. The free energy associated with the nonspherical nature of the guest molecules is evaluated as a perturbation from the reference system encaging spherical guests. The vibrational free energy of both guest and host molecules is divided into harmonic and anharmonic contributions. The latter term that is essential in the free energy of the hindered rotation for the guests is evaluated and thermodynamic properties are found to be in good agreement with the measured values. The dynamical behaviors are investigated by calculating the reorientational and velocity correlation functions. The occupation rates are calculated by grandcanonical Monte Carlo simulations and are in reasonable agreement with those from the direct calculation.","","","","",""
"Journal Article","Tanaka H,Nakanishi K","The Stability of Clathrate Hydrates: Temperature Dependence of Dissociation Pressure in Xe and Ar Hydrate","Mol. Simul.","Molecular simulation","1994","12","3-6","317-327","","田中さん業績集","Taylor & Francis","1994-03-01","","0892-7022","1029-0435","https://doi.org/10.1080/08927029408023040;http://dx.doi.org/10.1080/08927029408023040;http://www.tandfonline.com/doi/abs/10.1080/08927029408023040;https://scholar.google.ca/scholar?cluster=13825572651041721186&hl=en&as_sdt=0,5&sciodt=0,5;https://www.tandfonline.com/doi/pdf/10.1080/08927029408023040?t=","10.1080/08927029408023040","","","Abstract The thermodynamic stability of clathrate hydrates I and II encaging xenon or argon has been investigated by examining the temperature dependence of the dissociation pressure. The evaluation of the stability is made based on the generalized van der Waals and Platteeuw theory developed by Tanaka and Kiyohara [J. Chem. Phys. 98, 4098 (1993)]. In the new treatment, the free energy of formation of hydrates in equilibrium with ice is calculated by taking the coupling of the host lattice vibrations with guests into consideration. The predicted dissociation pressures of Xe and Ar hydrates agree well with experiments in higher temperature range. A poor agreement between experiment and calculation for Ar clathrate hydrate at low temperature is improved by the use of a quantum mechanical partition function for a harmonic oscillator in evaluating the free energy difference between ice and empty hydrate.","","","","",""
"Journal Article","Koga K,Tanaka H,Nakanishi K","On the Stability of Clathrate Hydrates Encaging Polar Guest Molecules: Contrast in the Hydrogen Bonds of Methylamine and Methanol Hydrates","Mol. Simul.","Molecular simulation","1994","12","3-6","241-252","","田中さん業績集","Taylor & Francis","1994-03-01","","0892-7022","1029-0435","https://doi.org/10.1080/08927029408023034;http://dx.doi.org/10.1080/08927029408023034;http://www.tandfonline.com/doi/abs/10.1080/08927029408023034;https://scholar.google.ca/scholar?cluster=5338272903717456082&hl=en&as_sdt=0,5&sciodt=0,5;https://www.tandfonline.com/doi/pdf/10.1080/08927029408023034?t=","10.1080/08927029408023034","","","Abstract The stability of clathrate hydrates encaging highly polar guests has been investigated in order to explain the experimental observation that some amines form clathrate hydrates but alcohols act as inhibitor to hydrate formation. We choose methylamine and methanol as guest species and examine the stable structure, at which the total potential energy has a minimum value. At the local minima of those two hydrates, the potential energies of water-water and guest-water, and their hydrogen bonded networks are compared. It is found that methanol does not retain the host lattice structure, while the host-network structure is kept in the presence of methylamine. It is shown that the difference in the magnitude of the partial charge on the hydrogen atom between the hydroxyl and amino groups plays a much more significant role on the stability of both clathrate hydrates than the difference in molecular geometry. This is supported from the result of a methylamine-like model that has the same partial charges on the atoms in the hydrophilic site as methanol.","","","","",""
"Journal Article","Okino F,Tanaka H,Lagassie P,Suganuma S,Touhara H","Ab initio MO calculations and experimental observations on the reactivities of elemental fluorine and chlorine with graphite in the presence of HF","J. Fluor. Chem.","Journal of fluorine chemistry","1992","57","1","45-52","","田中さん業績集","Elsevier BV","1992-04-01","","0022-1139","1873-3328","http://www.sciencedirect.com/science/article/pii/S0022113900828158;http://dx.doi.org/10.1016/S0022-1139(00)82815-8;https://linkinghub.elsevier.com/retrieve/pii/S0022113900828158;http://dx.doi.org/10.1016/s0022-1139(00)82815-8;https://scholar.google.ca/scholar?cluster=10034311124856527337&hl=en&as_sdt=0,5&sciodt=0,5;https://pdf.sciencedirectassets.com/271389/1-s2.0-S0022113900X01728/1-s2.0-S0022113900828158/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEG0aCXVzLWVhc3QtMSJHMEUCIQDdm2ScuYhI6pyHtLujnaeGL8Vd0g5fBpb8TzMY%2FN43UQIgWuK9dPFCRMPZVTGRWVW%2FHSu3ZB13uxcWntch62XtpSgqtAMIVhADGgwwNTkwMDM1NDY4NjUiDHDkHja%2FgrA0UBqI9yqRAwkLUeEqx9x%2FmxyrI7Exno8xdSjy8AnOfgtTPQkHpwwQCD6s%2Fg9GwDf1cT%2BBEoRkeNVYMCDZN08qmN7FNKRZalUTsdn9FwPE3ufSGcD%2BtKD5ZSJKs%2BZrO10n6NnDwnL3MA5bxQe%2Bjxv54%2By2MLQaB1M5ccEwHTkUkZHF30a%2BxUFnEK13aw%2BpB710dIie6nkQhjoIrhyQtyKcqjHkEV4q1so7vbZNFpVpdvDAc6bWoe9RP9eyEANAYF8fg9lWV3E9IZ6vQKQd7c2ng3ebeCImsB%2BTz5pLmU57dX5kSsnJofxNOkZgPAvS58ru%2BECzs6pmP0TXzOjBLWvOa0iUyG9u5pHw61xa1Umufepl2hfbeM6Bysc98wPP6PaiVx32uZzJsfb%2Fs6Lje7EPunOFujNce2tJsEugMnc1BlLF4iXsSyhy2toRqVa8eLU%2F6r8PzxymX2A8nqebbkeccOf%2F80pkaAFty80Xcazi1A5YmW3Cg3B906X%2BVNuK1Au1wqbZzACKXGOdPS9w9lu%2ByInDcV3WR3O1MP2GyYAGOusBHiA72qGVlDovLF7OGbtjNYPnBY0Xxo6c78Ya2FqoEEyNkhXoUZgjk8tOvE8FvH6ykqwljTxUaRXp05mNHWDD1bv1jQnqHgCn5O459PTLkJVXUUXT9h%2BXdqKxoFoEkOMZKEAKrlXKCb27Qwzr4MPnujY1DEDkkCDXgIk3CKR%2BykpLkHewBKKGEuVEJ6VwbmW9RiGmfVfDsvpAyYjaeUWeKPOAcylQESGXujY%2BGILoRhjMVOPMJkhWPRGc4rQvT5jSHivsCGacg9kH2YCj3zhjdZy9bwqSbna4l91UpJmXZpTQXWWuOhuWGlfzNA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210128T063453Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY3NWWMIEE%2F20210128%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=094af13f808f4763b59d14263dda384bd28686a0d7b137b2c25606a18a28bec3&hash=76d6147698e483ead2ec3eb27bbbd12b96228a97e8f12dce298d402abac960bf&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0022113900828158&tid=spdf-5165ab21-e94c-4b18-8c53-9db1ef554aa6&sid=585056fb834ad345af698cf70261ebd98bd3gxrqa&type=client&download=true","10.1016/S0022-1139(00)82815-8","","","Ab initio MO calculations have been carried out on F2  HF and Cl2  HF complexes in order to shed light on the reactivities of elemental fluorine and chlorine with graphite. The results show that the F2  HF and Cl2  HF complexes are stabilized by 10.50 and 5.2kJ/mol respectively. A partial charge transfer from the halogen molecules (X2) to HF occurs. The X2 molecules are polarized and the X atoms which are not hydrogen-bonded to HF carry a partial positive charge, making the complexes suitable for the dipole-induced dipole interaction with graphite. Furthermore, the X2 molecules interacting with HF can be regarded as easily polarizable, large “soft oxidants“, facilitating the subsequent charge transfer from graphite. HF plays a catalytic role both in intercalation and deintercalation processes. In contrast with fluorine, the reaction of chlorine with graphite in the presence of liquid HF barely yielded a stage-two compound after a prolonged reaction time, which was in agreement with the results of calculation. The lower reactivity of chlorine is attributed to the weaker interaction of Cl2 with HF and its smaller oxidizing ability.","","","","en",""
"Journal Article","Tanaka H,Nakanishi K","Molecular Dynamics Simulations on Aqueous Solutions of Rare Gases","Mol. Simul.","Molecular simulation","1991","6","4-6","311-324","","田中さん業績集","Taylor & Francis","1991-05-01","","0892-7022","1029-0435","https://doi.org/10.1080/08927029108022439;http://dx.doi.org/10.1080/08927029108022439;http://www.tandfonline.com/doi/abs/10.1080/08927029108022439;https://scholar.google.ca/scholar?cluster=2954710939531180795&hl=en&as_sdt=0,5&sciodt=0,5;https://www.tandfonline.com/doi/pdf/10.1080/08927029108022439?t=","10.1080/08927029108022439","","","Abstract Molecular dynamics simulations for water and aqueous solutions of apolar rare gases have been carried out in order to study the dependence of hydration structures on solute species. The solute species under investigation were neon and xenon. The structures and thermodynamic properties relevant to the hydration processes were analyzed based upon the quenching of the system to local potential energy minima. It was found that the two solutes give rise to qualitatively different hydration structures; the introduction of Xe atoms make a significant water structure enhancement, increasing the population of pentagonal hydrogen bond network. The solution of neon with usual size parameter and combining rule failed to reproduce the experimentally observed properties. The structural change in quenched state was seen in the Ne solution where a somewhat larger size parameter was adopted. In normal mode analysis, the potential energy was expanded up to quadratic order around quenched configurations. Free energy and entropy changes in the hydration were evaluated for these aqueous harmonic systems. It was shown that a substantial part of the negative entropy change in hydration of apolar molecules experimentally observed arises from the differences in molecular rearrangement and anharmonic rather than harmonic motions.","","","","en",""
"Journal Article","Yagasaki T,Matsumoto M,Tanaka H","Phase Diagrams of TIP4P/2005, SPC/E, and TIP5P Water at High Pressure","J. Phys. Chem. B","The journal of physical chemistry. B","2018","122","31","7718-7725","","田中さん業績集;Matsumoto","","2018-08-09","","1520-6106","1520-5207","http://dx.doi.org/10.1021/acs.jpcb.8b04441;https://www.ncbi.nlm.nih.gov/pubmed/30016105;https://doi.org/10.1021/acs.jpcb.8b04441;https://pubs.acs.org/doi/abs/10.1021/acs.jpcb.8b04441;https://pubs.acs.org/doi/pdf/10.1021/acs.jpcb.8b04441;https://dx.doi.org/10.1021/acs.jpcb.8b04441;https://scholar.google.ca/scholar?cluster=2472337347313702114&hl=en&as_sdt=0,5&sciodt=0,5","10.1021/acs.jpcb.8b04441","30016105","","We investigate high-pressure ice phases using molecular dynamics simulations. Spontaneous nucleation of a new crystalline solid, named ice T2, is observed in a simulation of TIP4P/2005 water at 260 K and 3.3 GPa. The phase diagram of ices VI, VII, T2, and recently reported two other hypothetical ices, ice R and ice T, is determined using the direct coexistence method and the Clausius-Clapeyron equation for TIP4P/2005, SPC/E, and TIP5P water. It is found that there exists at least one pressure region in which a hypothetical ice phase is the most stable at ambient temperature with those models. Although the hypothetical ices may be metastable in reality, these ices could be of great importance toward a comprehensive understanding of the phase behaviors of water including many metastable ice polymorphs settled in the hidden area of T- P space. The unit cell of ice T2 is tetragonal with a space group of I41/ acd and it contains 152 water molecules. This is probably the most entangled structure among crystals which have been found in nucleation simulations without bias.","","","Research Institute for Interdisciplinary Science , Okayama University , Okayama 700-8530 , Japan.","en","Research Article"
"Journal Article","Matsumoto M,Yagasaki T,Tanaka H","Novel Algorithm to Generate Hydrogen-Disordered Ice Structures","J. Chem. Inf. Model.","Journal of chemical information and modeling","2021","61","6","2542-2546","","田中さん業績集;Matsumoto;GenIce2","","2021-05-24","","1549-9596","1549-960X","http://dx.doi.org/10.1021/acs.jcim.1c00440;https://www.ncbi.nlm.nih.gov/pubmed/34029084;https://doi.org/10.1021/acs.jcim.1c00440;https://pubs.acs.org/doi/pdf/10.1021/acs.jcim.1c00440","10.1021/acs.jcim.1c00440","34029084","","We propose an efficient algorithm for generating hydrogen-disordered ice networks utilizing graph theory and the topological characteristic of the network. The computational efficiency with the new algorithm is much higher than the conventional ones developed by Rahman and Stillinger and Buch et al. The difference in the computational time between our algorithm and either of the two conventional ones increases with increasing the system size.","","","Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530 Japan. Division of Chemical Engineering, Graduate School of Engineering Science, Osaka University, Osaka 560-8531 Japan. Toyota Physical and Chemical Research Institute, Aichi 480-1192, Japan.","en","Research Article"
"Journal Article","Tanaka H,Matsumoto M,Yagasaki T","Efficiency and energy balance for substitution of CH4 in clathrate hydrates with CO2 under multiple-phase coexisting conditions","J. Chem. Phys.","The Journal of chemical physics","2023","159","19","","","田中さん業績集;Matsumoto","","2023-11-21","","0021-9606","1089-7690","http://dx.doi.org/10.1063/5.0179655;https://www.ncbi.nlm.nih.gov/pubmed/37987520","10.1063/5.0179655","37987520","","Many experimental and theoretical studies on CH4-CO2 hydrates have been performed aiming at the extraction of CH4 as a relatively clean energy resource and concurrent sequestration of CO2. However, vague or insufficient characterization of the environmental conditions prevents us from a comprehensive understanding of even equilibrium properties of CH4-CO2 hydrates for this substitution. We propose possible reaction schemes for the substitution, paying special attention to the coexisting phases, the aqueous and/or the fluid, where CO2 is supplied from and CH4 is transferred to. We address the two schemes for the substitution operating in three-phase and two-phase coexistence. Advantages and efficiencies of extracting CH4 in the individual scheme are estimated from the chemical potentials of all the components in all the phases involved in the substitution on the basis of a statistical mechanical theory developed recently. It is found that although substitution is feasible in the three-phase coexistence, its working window in temperature-pressure space is much narrower compared to the two-phase coexistence condition. Despite that the substitution normally generates only a small amount of heat, a large endothermic substitution is suggested in the medium pressure range, caused by the vaporization of liquid CO2 due to mixing with a small amount of the released CH4. This study provides the first theoretical framework toward the practical use of hydrates replacing CH4 with CO2 and serves as a basis for quantitative planning.","","","Toyota Physical and Chemical Research Institute, Nagakute 480-1192, Japan. Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530, Japan. Division of Chemical Engineering, Graduate School of Engineering Science, Osaka University, Osaka 560-8531, Japan.","en","Research Article"
"Journal Article","Matsumoto M,Yagasaki T,Tanaka H","On the anomalous homogeneity of hydrogen-disordered ice and its origin","J. Chem. Phys.","The Journal of chemical physics","2021","155","16","164502","","hyperuniformity;田中さん業績集;Matsumoto;ResidualEntropy","American Institute of Physics","2021-10-28","","0021-9606","1089-7690","https://doi.org/10.1063/5.0065215;http://dx.doi.org/10.1063/5.0065215;https://aip.scitation.org/doi/10.1063/5.0065215;https://aip.scitation.org/doi/pdf/10.1063/5.0065215","10.1063/5.0065215","","","Pauling?s successful estimation of the residual entropy of hydrogen-disordered ice was based on the homogeneity of the binding energy of individual water molecules in ice. However, it has not been explained why the binding energies are homogeneous although the pair interaction energy of hydrogen-bonded dimers distributes widely. Here, we provide a rationale for this phenomenon. The topological constraints imposed by the ice rules, in which water molecules form directed cyclic paths of hydrogen bonds, cancel out the variability of local interactions. We also show that the cancellation mechanism does not work due to some imperfect cyclic paths on the surface of ice. Such water molecules do not enjoy homogeneity in the bulk state and suffer from a wide spectrum in the binding energy.","","","Research Institute for Interdisciplinary Science, Okayama University - Tsushima Campus, Japan; Division of Chemical Engineering, Osaka University Graduate School of Engineering Science School of Engineering Science, Japan; Toyota Physical and Chemical Research Institute, Japan","en",""
"Journal Article","Matsumoto M,Yagasaki T,Tanaka H","Formation of hot ice caused by carbon nanobrushes. II. Dependency on the radius of nanotubes","J. Chem. Phys.","The Journal of chemical physics","2021","154","9","094502","","Matsumoto;田中さん業績集","American Institute of Physics","2021-03-07","","0021-9606","1089-7690","http://dx.doi.org/10.1063/5.0044300;https://www.ncbi.nlm.nih.gov/pubmed/33685157;https://doi.org/10.1063/5.0044300","10.1063/5.0044300","33685157","","Stable crystalline structures of confined water can be different from bulk ice. In Paper I [T. Yagasaki et al., J. Chem. Phys. 151, 064702 (2019)] of this study, it was shown, using molecular dynamics (MD) simulations, that a zeolite-like ice structure forms in nanobrushes consisting of (6,6) carbon nanotubes (CNTs) when the CNTs are located in a triangle arrangement. The melting temperature of the zeolite-like ice structure is much higher than the melting temperature of ice Ih when the distance between the surfaces of CNTs is ∼0.94 nm, which is the best spacing for the bilayer structure of water. In this paper, we perform MD simulations of nanobrushes of CNTs that are different from (6,6) CNTs in radius. Several new porous ice structures form spontaneously in the MD simulations. A stable porous ice forms when the radius of its cavities matches the radius of the CNTs well. All cylindrical porous ice structures found in this study can be decomposed into a small number of structural blocks. We provide a new protocol to classify cylindrical porous ice crystals on the basis of this decomposition.","","","Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530, Japan. Division of Chemical Engineering, Graduate School of Engineering Science, Osaka University, Osaka 560-8531, Japan.","en","Research Article"
"Journal Article","Tanaka H,Yagasaki T,Matsumoto M","On the phase behaviors of hydrocarbon and noble gas clathrate hydrates: Dissociation pressures, phase diagram, occupancies, and equilibrium with aqueous solution","J. Chem. Phys.","The Journal of chemical physics","2018","149","7","074502","","田中さん業績集;Matsumoto","AIP Publishing LLC","2018-08-21","","0021-9606","1089-7690","https://aip.scitation.org/doi/abs/10.1063/1.5044568;https://aip.scitation.org/doi/full/10.1063/1.5044568;http://dx.doi.org/10.1063/1.5044568;https://www.ncbi.nlm.nih.gov/pubmed/30134723;https://dx.doi.org/10.1063/1.5044568;https://scholar.google.ca/scholar?cluster=6126401992929260030&hl=en&as_sdt=0,5&sciodt=0,5","10.1063/1.5044568","30134723","","We apply a statistical mechanical theory on clathrate hydrates to an exploration of the phase behaviors of hydrocarbon and noble gas clathrate hydrates. Two- and three-phase coexisting conditions in the whole space of thermodynamic variables (temperature, pressure, and composition) are evaluated only from intermolecular interactions for water and guest species. The occupancy of guest molecules in various types of cages is also calculated. We find that a small difference in the guest size gives rise to a rich variety of phase behaviors, notably for the shape of the two-phase boundary and the occupancy. Ethane clathrate hydrate is found to exhibit the most drastic and intriguing features in various properties arising from its non-stoichiometry. We investigate the phase behaviors of clathrate hydrate in terms of the partial molar quantities derived from the chemical potentials of guest and water. Our method also allows exploring the aqueous solution of an apolar guest molecule in the low temperature and high pressure regime coexisting with the corresponding clathrate hydrate for which the free guest fluid phase is substituted at high temperatures. It is shown that the temperature dependence of methane solubility in liquid water in the presence of clathrate hydrate is opposite to that being in equilibrium with the methane fluid without clathrate hydrate. This phenomenon is elucidated by a substantial decrease in the chemical potential of methane from the hydrate/guest boundary to the hydrate/water.","","","Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530, Japan.","en","Research Article"
"Journal Article","Tanaka H,Matsumoto M,Yagasaki T","Cage occupancies of CH4, CO2, and Xe hydrates: Mean field theory and grandcanonical Monte Carlo simulations","J. Chem. Phys.","The Journal of chemical physics","2024","160","4","","","田中さん業績集","","2024-01-28","","0021-9606","1089-7690","http://dx.doi.org/10.1063/5.0188679;https://www.ncbi.nlm.nih.gov/pubmed/38258922;https://pubmed.ncbi.nlm.nih.gov/38258922","10.1063/5.0188679","38258922","","We propose a statistical mechanical theory for the thermodynamic stability of clathrate hydrates, considering the influence of the guest-guest interaction on the occupancies of the cages. A mean field approximation is developed to examine the magnitude of the influence. Our new method works remarkably well, which is manifested by two sorts of grandcanonical Monte Carlo (GCMC) simulations. One is full GCMC, and the other is designed in the present study for clathrate hydrates, called lattice-GCMC, in which each guest can be adsorbed at one of the centers of the cage. In the latter simulation, only the guest-guest interaction is explicitly treated, incorporating the host-guest interaction into the free energy of the cage occupation without other guests. Critical phenomena for guest species, such as large density fluctuations, are observed when the temperature is low or the guest-guest interaction is strong.","","","Toyota Physical and Chemical Research Institute, Nagakute 480-1192, Japan. Research Institute for Interdisciplinary Science, Okayama University, Okayama 700-8530, Japan. Division of Chemical Engineering, Graduate School of Engineering Science, Osaka University, Osaka 560-8531, Japan.","en","Research Article"
"Journal Article","松本 正和,田中 秀樹","立体フラーレン型化合物の構造選択則","低温科学","低温科学","2013","71","","161-171","","Matsumoto;田中さん業績集","北海道大学低温科学研究所","2013-03-31","2022-03-03","1880-7593","","https://eprints.lib.hokudai.ac.jp/dspace/handle/2115/52369;https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/52369/3/LTS71_019.pdf","","","","クラスレートハイドレートの安定性を求める標準理論と, Frank-Kasper型合金の結晶構造の経験則から, クラスレート化合物の結晶構造選択則の基本原理を導いた. なぜクラスレートハイドレートの結晶構造の多様性が小さいのかを説明し, 新たな結晶構造を探索する指針を提案する.","","","","",""
